topology_id	topology_num	topology
72	24	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
73	24	((Medicago_truncatula,Glycine_max),Solanum_lycopersicum);
74	23	((((Medicago_truncatula,Glycine_max),Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera);
75	23	(((Medicago_truncatula,Glycine_max),Glycine_max),Solanum_lycopersicum);
76	22	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Amborella_trichopoda);
77	22	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
78	22	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,(Vitis_vinifera,Solanum_lycopersicum))),Amborella_trichopoda);
79	22	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Solanum_lycopersicum),Amborella_trichopoda);
80	22	((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana);
81	21	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
82	21	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda);
83	20	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
84	20	(((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
85	20	((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Solanum_lycopersicum);
86	20	((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
87	20	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda);
88	19	(((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
89	19	((((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Vitis_vinifera),Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
90	19	((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Vitis_vinifera);
91	19	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Amborella_trichopoda);
92	18	((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Amborella_trichopoda);
93	18	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
94	18	(((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
95	17	(((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
96	17	((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
97	17	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Amborella_trichopoda);
98	17	(((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
99	17	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
100	17	(((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Solanum_lycopersicum);
101	16	((((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Solanum_lycopersicum)),Vitis_vinifera),Amborella_trichopoda);
102	16	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),(Arabidopsis_thaliana,Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
103	16	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
104	16	(((Medicago_truncatula,Glycine_max),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
105	16	(((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana);
106	15	(((((((Medicago_truncatula,Glycine_max),Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
107	15	((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Vitis_vinifera);
108	15	((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum);
109	15	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
110	14	((((((Medicago_truncatula,Glycine_max),Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
111	14	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare);
112	14	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
113	13	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),(Vitis_vinifera,Solanum_lycopersicum)),Amborella_trichopoda);
