GeneID,leaf.ammonium,leaf.nitrate,leaf.urea,root.ammonium,root.nitrate,root.urea
AT3G54130,5.22,6.652,4.944,9.673,9.532,8.195
AT3G54140,19.091,18.475,19.07,30.123,20.508,18.898
AT3G54150,8.262,16.838,2.828,11.008,6.65,6.91
AT3G54160,0.615,0.836,0.686,0.802,0.893,0.663
AT3G54170,14.647,18.457,14.711,20.961,20.574,20.1
AT3G54180,2.151,4.14,2.486,18.577,32.031,22.012
AT3G54190,32.03,30.759,28.344,33.563,29.278,30.647
AT3G54200,8.102,10.806,9.724,41.809,45.552,39.905
AT3G54210,287.5,293.266,369.614,19.759,18.145,17.941
AT3G54220,9.527,10.898,9.734,3.567,3.657,1.731
AT3G54230,13.607,12.847,13.795,19.971,16.78,20.535
AT3G54240,0,0,0.013,0,0.059,0.046
AT3G54250,4.996,4.893,5.056,15.056,13.797,13.338
AT3G54260,2.033,3.399,2.619,342.456,383.039,379.517
AT3G54270,0.991,1.478,0.693,3.705,2.979,3.29
AT3G54280,7.55,8.525,7.693,11.727,11.737,11.078
AT3G54290,10.254,12.842,9.718,27.147,27.624,26.272
AT3G54300,26.384,28.756,21.044,29.487,30.164,27.911
AT3G54310,0.026,0,0,1.722,3.433,2.849
AT3G54320,1.59,2.004,2.002,6.231,5.87,5.323
AT3G54340,0.338,0.831,0.187,0.057,0.04,0.05
AT3G54350,18.356,15.338,16.78,17.2,15.015,15.225
AT3G54360,73.123,57.782,64.536,27.969,25.039,26.166
AT3G54363,3.16,3.937,3.424,5.778,4.148,7.248
AT3G54380,8.74,10.488,8.092,13.625,11.694,13.823
AT3G54390,2.447,4.878,2.382,30.769,36.042,38.968
AT3G54400,22.471,28.678,22.29,45.079,58.748,36.6
AT3G54410,0,0.054,0.016,0.338,0.028,0.167
AT3G54420,1.785,3.749,1.411,3.303,3.823,4.808
AT3G54430,1.876,4.349,3.18,15.252,15.442,18.953
AT3G54440,33.168,30.504,29.388,25.327,20.78,22.536
AT3G54450,0.009,0,0.008,1.178,1.848,0.625
AT3G54460,13.838,12.665,11.055,7.88,6.589,6.151
AT3G54470,24.741,31.248,33.536,46.969,57.512,42.068
AT3G54480,14.449,13.086,13.755,20.518,16.231,18.88
AT3G54490,0.042,0.048,0.093,0.09,0.017,0.066
AT3G54500,29.391,4.274,14.962,20.444,2.667,14.368
AT3G54510,0.02,0.044,0.03,0.049,0.032,0.025
AT3G54520,0,0,0.018,0.155,0.013,0.027
AT3G54530,0.012,0,0,0.089,0.011,0.055
AT3G54540,27.514,31.223,27.497,38.069,36.036,35.947
AT3G54550,0.013,0.133,0,0.073,0.018,0.035
AT3G54560,11.97,21.957,15.498,29.248,42.079,33.331
AT3G54570,0,0.035,0,0,0,0
AT3G54580,0.062,0.099,0.057,9.054,15.742,3.302
AT3G54590,0.006,0.011,0.022,2.57,6.504,1.525
AT3G54600,40.064,37.826,40.842,19.57,23.685,10.535
AT3G54610,5.583,6.519,5.263,10.411,9.064,9.904
AT3G54620,38.72,30.982,29.977,56.807,47.847,50.129
AT3G54630,1.187,1.697,1.247,4.483,5.532,4.069
AT3G54640,74.282,58.771,48.549,76.12,76.319,58.109
AT3G54650,8.369,12.299,10.258,18.339,15.32,14.554
AT3G54660,111.27,62.809,104.58,31.81,29.966,32.477
AT3G54670,10.704,14.92,10.839,27.273,24.454,25.259
AT3G54680,8.235,7.633,5.992,19.108,12.655,13.256
AT3G54690,13.922,19.32,17.688,23.21,29.608,21.223
AT3G54700,0.016,0.015,0,0.035,0.067,0.099
AT3G54710,0.689,2.299,1.241,3.6,5.53,3.718
AT3G54720,8.878,5.056,9.593,30.292,26.126,31.56
AT3G54730,0.56,0.049,0.612,0.168,0.075,0.137
AT3G54740,4.729,6.386,4.82,12.25,9.882,11.896
AT3G54750,7.982,11.455,10.651,14.186,19.183,14.6
AT3G54760,21.82,28.604,22.99,34.604,35.342,30.677
AT3G54770,0.021,0.089,0.095,4.13,4.788,1.322
AT3G54780,0.687,1.993,0.919,10.3,11.862,9.628
AT3G54790,10.315,14.284,10.381,9.587,9.393,8.453
AT3G54800,0.017,0.005,0,0.035,0.103,0.094
AT3G54810,35.64,66.126,55.041,118.504,131.152,130.271
AT3G54820,4.44,6.686,4.042,62.312,80.355,92.064
AT3G54826,21.947,22.148,19.572,19.406,20.497,20.873
AT3G54830,0.674,3.564,0.809,0.137,0.165,0.025
AT3G54840,38.351,35.932,33.01,40.7,38.708,42.398
AT3G54850,11.848,16.099,9.739,13.574,11.951,12.975
AT3G54860,12.837,14.956,12.947,22.187,24.525,22.683
AT3G54870,0.041,0.136,0.042,0.6,0.629,0.466
AT3G54880,20.244,16.381,25.435,47.168,39.604,49.958
AT3G54890,2655.792,991.015,2331.165,13.917,8.444,14.368
AT3G54900,78.414,42.906,83.845,23.795,22.033,22.283
AT3G54910,3.836,3.978,3.952,9.689,8.817,13.493
AT3G54920,60.287,61.412,51.007,64.821,63.054,64.107
AT3G54925,0.021,0,0,0,0,0
AT3G54930,2.157,2.062,2.577,3.89,4.326,3.944
AT3G54940,0.011,0.01,0.023,0.042,0.01,0.01
AT3G54950,4.563,4.327,3.285,9.238,7.397,6.11
AT3G54960,15.467,34.681,9.97,32.575,37.553,22.471
AT3G54970,4.841,5.256,5.64,4.661,4.246,3.86
AT3G54980,2.346,2.745,2.637,3.852,3.894,3.514
AT3G54990,0.593,0.59,0.519,3.16,3.894,3.872
AT3G55000,14.046,17.015,15.047,25.097,24.175,25.355
AT3G55005,12.297,14.109,13.095,32.386,36.005,36.228
AT3G55010,10.962,19.332,14.989,22.373,27.396,22.447
AT3G55020,25.976,24.898,26.211,48.014,50.804,56.426
AT3G55030,12.696,12.933,10.885,19.995,19.232,19.482
AT3G55040,50.803,68.112,53.711,18.344,19.207,24.187
AT3G55050,9.077,13.213,12.603,27.221,33.549,33.899
AT3G55060,0.766,1.415,0.979,3.97,4.723,3.849
AT3G55070,12.605,12.901,11.857,13.485,12.819,11.695
AT3G55080,10.413,10.009,10.596,6.48,5.826,7.969
AT3G55090,0.038,0.064,0.006,6.263,2.561,1.737
AT3G55100,0.007,0,0.039,0,0,0
AT3G55110,1.232,1.599,0.884,0,0.006,0
AT3G55120,8.569,6.961,10.722,1.897,0.941,1.171
AT3G55130,20.344,12.639,18.402,0.03,0.019,0.017
AT3G55140,15.822,16.205,15.478,18.663,18.579,19.735
AT3G55150,0,0.013,0.008,0.443,0.688,0.226
AT3G55160,2.675,3.634,3.097,5.639,5.586,4.759
AT3G55170,23.071,30.737,26.266,43.695,49.354,47.778
AT3G55180,0,0.012,0.025,0.303,0.162,0.219
AT3G55190,0,0,0,0,0.012,0
AT3G55200,3.083,2.92,2.896,3.51,3.59,2.631
AT3G55210,0.024,0.025,0.031,0.137,0.239,0.133
AT3G55220,2.804,2.882,2.587,3.099,3.827,2.596
AT3G55230,0.089,0,0.018,5.138,7.599,2.26
AT3G55240,16.632,7.646,12.336,0.133,0.032,0.074
AT3G55250,47.398,55.283,60.307,5.853,5.025,6.943
AT3G55252,0,0,0,0,0,0
AT3G55254,0,0,0,0,0.025,0
AT3G55260,22.891,23.511,20.263,18.597,16.679,16.748
AT3G55270,23.885,26.827,18.453,30.046,27.038,26.837
AT3G55280,58.581,84.114,72.602,143.699,177.899,133.447
AT3G55290,4.103,2.885,4.423,10.984,9.523,14.854
AT3G55310,0.011,0,0.014,0.324,0.551,0.104
AT3G55320,5.242,6.258,4.77,6.62,7.991,6.678
AT3G55330,82.923,137.938,136.152,0.696,0.687,0.68
AT3G55340,3.568,5.311,4.258,8.492,10.677,7.84
AT3G55350,3.747,4.01,4.593,8.135,9.734,8.513
AT3G55360,28.998,36.434,32.884,41.629,54.174,39.593
AT3G55370,2.096,2.675,2.497,22.441,22.205,19.112
AT3G55380,12.787,12.817,11.606,21.719,22.415,21.417
AT3G55390,4.381,4.518,4.53,6.677,7.061,8.444
AT3G55400,36.008,38.465,43.797,16.028,14.361,15.227
AT3G55410,52.492,62.204,49.641,56.419,65.605,51.749
AT3G55420,8.149,13.752,12.282,41.342,50.038,45.359
AT3G55430,47.126,35.127,53.377,174.185,279.1,254.472
AT3G55440,253.204,347.643,287.895,237.446,350.154,235.746
AT3G55450,22.532,27.692,25.973,33.676,31.675,35.599
AT3G55460,53.289,51.306,54.292,90.863,83.916,94.949
AT3G55470,15.879,16.897,9.193,22.852,12.297,20.791
AT3G55480,11.68,13.618,13.28,14.691,13.307,14.012
AT3G55490,6.614,7.922,6.797,10.609,9.559,11.355
AT3G55500,7.186,13.105,6.888,0.063,0.241,0.123
AT3G55510,5.631,9.083,7.696,13.762,16.888,15.055
AT3G55513,0,0,0,0.048,0,0.045
AT3G55515,0.01,0.154,0.107,3.94,6.816,5.676
AT3G55520,23.75,28.962,28.146,26.191,23.209,26.029
AT3G55530,11.876,12.712,11.358,24.258,18.257,24.408
AT3G55540,0.071,0.225,0.017,0.047,0.063,0.076
AT3G55550,0.03,0.007,0.061,0.353,0.244,0.283
AT3G55560,10.801,8.977,7.375,15.539,12.753,14.566
AT3G55566,0,0,0,0,0,0
AT3G55570,0.118,0.363,0.044,0.047,0,0
AT3G55580,2.368,0.307,0.952,1.095,0.662,0.748
AT3G55590,0,0.013,0,0,0.027,0
AT3G55600,7.196,7.226,6.453,10.627,10.316,9.898
AT3G55605,5.671,11.508,6.412,13.374,15.064,13.594
AT3G55610,122.751,35.417,82.548,73.392,64.688,87.781
AT3G55620,51.063,43.048,51.959,63.211,68.734,61.782
AT3G55630,17.849,48.255,36.554,0.682,0.445,0.587
AT3G55640,5.572,4.513,5.129,7.088,5.618,8.162
AT3G55646,1.07,2.92,5.713,0.153,0.09,0.317
AT3G55650,0.01,0.028,0.028,0.203,0.402,0.49
AT3G55660,1.075,3.522,1.623,5.864,12.887,7.702
AT3G55665,0,0,0,0,0,0
AT3G55670,0.025,0,0,0,0,0
AT3G55672,0.023,0,0,0,0,0
AT3G55677,0,0,0.029,0.026,0.052,0.026
