P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Arachis_hypogaea	Medicago_truncatula	Arachis_ipaensis	-26.898502052527835	1.0	0.49082568807339455	823.0	11.0	96.0	6.0	3.0	75.0	117.0	1.0	10.0	45.0	0.0	14.0	24.0	4.0	1.0
Medicago_truncatula	Arachis_hypogaea	Arachis_duranensis	1.0057810573091583	0.15726046281708694	0.03571428571428571	820.0	14.0	77.0	114.0	2.0	96.0	6.0	3.0	10.0	45.0	0.0	16.0	4.0	22.0	1.0
Medicago_truncatula	Arachis_duranensis	Arachis_hypogaea	-99999.9	1.0	-0.04	820.0	77.0	14.0	114.0	2.0	96.0	10.0	16.0	6.0	45.0	4.0	3.0	0.0	22.0	1.0
Arachis_hypogaea	Medicago_truncatula	Arachis_duranensis	-26.15030749003811	1.0	0.49056603773584906	820.0	14.0	96.0	6.0	3.0	77.0	114.0	2.0	10.0	45.0	0.0	16.0	22.0	4.0	1.0
Medicago_truncatula	Arachis_ipaensis	Arachis_duranensis	3.0673401631995967	0.0010799334367733726	0.0	894.0	4.0	3.0	125.0	1.0	120.0	0.0	0.0	0.0	55.0	0.0	2.0	0.0	26.0	0.0
Medicago_truncatula	Arachis_duranensis	Arachis_ipaensis	3.0673401631995967	0.0010799334367733726	0.0	894.0	3.0	4.0	125.0	1.0	120.0	0.0	2.0	0.0	55.0	0.0	0.0	0.0	26.0	0.0
Arachis_ipaensis	Medicago_truncatula	Arachis_duranensis	-395.28470752105864	1.0	0.5	894.0	4.0	120.0	0.0	0.0	3.0	125.0	1.0	0.0	55.0	0.0	2.0	26.0	0.0	0.0
Arachis_hypogaea	Arachis_ipaensis	Arachis_duranensis	1.8490060736636154	0.03222840760200274	0.12903225806451613	1010.0	6.0	1.0	27.0	0.0	112.0	0.0	0.0	4.0	192.0	1.0	0.0	0.0	12.0	0.0
Arachis_hypogaea	Arachis_duranensis	Arachis_ipaensis	-99999.9	1.0	-0.21052631578947367	1010.0	1.0	6.0	27.0	0.0	112.0	4.0	0.0	0.0	192.0	0.0	0.0	1.0	12.0	0.0
Arachis_ipaensis	Arachis_hypogaea	Arachis_duranensis	-10.631784923565784	1.0	0.46	1010.0	6.0	112.0	0.0	0.0	1.0	27.0	0.0	4.0	192.0	1.0	0.0	12.0	0.0	0.0
Glycine_max	Trifolium_pratense	Medicago_truncatula	0.5553746502051969	0.2893191844733731	0.11764705882352941	944.0	78.0	22.0	21.0	7.0	21.0	6.0	2.0	8.0	70.0	7.0	0.0	0.0	4.0	1.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	-99999.9	1.0	-0.18181818181818182	944.0	22.0	78.0	21.0	7.0	21.0	8.0	0.0	6.0	70.0	0.0	2.0	7.0	4.0	1.0
Trifolium_pratense	Glycine_max	Medicago_truncatula	-3.609935226333777	0.999846826822878	0.4642857142857143	944.0	78.0	21.0	6.0	2.0	22.0	21.0	7.0	8.0	70.0	7.0	0.0	4.0	0.0	1.0
Glycine_max	Trifolium_pratense	Arachis_hypogaea	-0.2213455355359203	0.5875882619340036	1.0625	935.0	195.0	32.0	9.0	13.0	17.0	10.0	4.0	27.0	56.0	20.0	3.0	0.0	2.0	0.0
Glycine_max	Arachis_hypogaea	Trifolium_pratense	-3.9842196396465686	0.9999661334519986	0.4857142857142857	935.0	32.0	195.0	9.0	13.0	17.0	27.0	3.0	10.0	56.0	0.0	4.0	20.0	2.0	0.0
Trifolium_pratense	Glycine_max	Arachis_hypogaea	0.2343658611556803	0.40735052702676444	0.9473684210526315	935.0	195.0	17.0	10.0	4.0	32.0	9.0	13.0	27.0	56.0	20.0	3.0	2.0	0.0	0.0
