P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Arachis_ipaensis	Medicago_truncatula	Trifolium_pratense	3.4685877832897636	0.0002616473819780918	0.5633802816901409	1078.0	87.0	22.0	46.0	8.0	42.0	15.0	10.0	55.0	309.0	46.0	8.0	18.0	42.0	2.0
Trifolium_pratense	Medicago_truncatula	Glycine_max	3.7136893870631633	0.00010215928589563106	0.4736842105263158	1075.0	45.0	25.0	54.0	6.0	85.0	14.0	13.0	50.0	313.0	34.0	6.0	21.0	45.0	2.0
Glycine_max	Arachis_hypogaea	Arachis_duranensis	3.9737884573623687	3.53850611412021e-05	0.11195928753180662	2365.0	213.0	177.0	390.0	57.0	362.0	41.0	45.0	85.0	491.0	59.0	55.0	44.0	228.0	23.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	3.9462431757452388	3.971054170770483e-05	0.11458333333333334	2361.0	217.0	182.0	382.0	60.0	361.0	42.0	45.0	86.0	486.0	63.0	56.0	51.0	216.0	27.0
Glycine_max	Medicago_truncatula	Arachis_hypogaea	3.556323649925459	0.00018808058878949652	0.6258992805755396	1974.0	313.0	228.0	138.0	71.0	206.0	86.0	55.0	173.0	554.0	132.0	71.0	109.0	104.0	40.0
Glycine_max	Medicago_truncatula	Arachis_ipaensis	3.8583239526543367	5.7104879035430045e-05	0.6326530612244898	1943.0	305.0	221.0	127.0	75.0	206.0	73.0	64.0	166.0	561.0	126.0	68.0	115.0	107.0	31.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	3.3118790554349085	0.0004634156471234885	0.1778846153846154	2221.0	170.0	143.0	219.0	36.0	240.0	48.0	45.0	85.0	685.0	77.0	40.0	84.0	200.0	21.0
Trifolium_pratense	Medicago_truncatula	Arachis_duranensis	3.1905829080080994	0.0007099951116824599	0.8341013824884793	2141.0	316.0	145.0	86.0	36.0	167.0	50.0	44.0	231.0	655.0	194.0	40.0	72.0	64.0	37.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.8262764687635396	6.507102929664832e-05	0.75	3617.0	169.0	140.0	62.0	11.0	153.0	26.0	19.0	134.0	191.0	39.0	33.0	23.0	21.0	9.0
Arachis_hypogaea	Arachis_duranensis	Medicago_truncatula	6.1992876442072875	2.8475677371631036e-10	0.7353846153846154	3848.0	475.0	224.0	135.0	61.0	176.0	49.0	34.0	288.0	351.0	103.0	42.0	43.0	43.0	26.0
Arachis_hypogaea	Arachis_duranensis	Arachis_ipaensis	11.885023034362108	0.0	0.36757624398073835	3954.0	401.0	16.0	400.0	13.0	249.0	6.0	7.0	235.0	375.0	138.0	10.0	5.0	141.0	5.0
Arachis_duranensis	Medicago_truncatula	Trifolium_pratense	5.97902037704999	1.1263805443917363e-09	0.34831460674157305	3759.0	268.0	273.0	240.0	49.0	421.0	66.0	66.0	159.0	320.0	50.0	74.0	39.0	90.0	30.0
Glycine_max	Trifolium_pratense	Medicago_truncatula	4.11422645616703	1.9434756907354966e-05	0.271356783919598	3938.0	393.0	238.0	209.0	58.0	270.0	64.0	46.0	118.0	372.0	63.0	45.0	38.0	72.0	10.0
Glycine_max	Medicago_truncatula	Arachis_ipaensis	3.314097297804197	0.0004597550424529917	0.3888888888888889	3623.0	552.0	366.0	167.0	130.0	277.0	90.0	66.0	139.0	232.0	106.0	52.0	50.0	66.0	21.0
Trifolium_pratense	Medicago_truncatula	Arachis_ipaensis	5.330104955372723	4.9183044970035894e-08	0.6837944664031621	3668.0	568.0	266.0	152.0	90.0	262.0	72.0	68.0	245.0	263.0	147.0	48.0	42.0	51.0	28.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.8000476652566793	7.235852041698188e-05	0.6415094339622641	2293.0	135.0	128.0	65.0	17.0	142.0	27.0	22.0	95.0	204.0	25.0	24.0	12.0	23.0	7.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.6318441024409402	0.0001407364847109127	0.8279569892473119	962.0	186.0	38.0	16.0	8.0	52.0	0.0	4.0	77.0	134.0	32.0	6.0	4.0	6.0	2.0
Arachis_hypogaea	Arachis_ipaensis	Trifolium_pratense	3.2817338674258885	0.0005159142166977215	0.8915989159891599	2882.0	439.0	142.0	98.0	43.0	271.0	58.0	51.0	387.0	269.0	136.0	41.0	35.0	38.0	15.0
Arachis_hypogaea	Arachis_duranensis	Trifolium_pratense	3.15688264651362	0.0007973936760252709	0.8888888888888888	2853.0	435.0	175.0	100.0	49.0	277.0	61.0	55.0	373.0	265.0	134.0	46.0	36.0	39.0	13.0
