Tree,score,deep,var,GD,species_overlap,gd_consistency,RF
OG0001285_160_20,0.9539156632894938,2.0,0.14311890259980023,53,1.0,1.0,0.826087
OG0001289_160_1,0.8961020907521551,1.0,0.5885282373775654,48,1.0,1.0,0.52
OG0001294_159_28,0.8735996117651376,3.0,0.09537241056474167,64,1.0,1.0,0.483871
OG0001297_159_7,0.9387906108448212,3.0,0.06985986516969156,56,1.0,1.0,0.384615
OG0001299_159_5,0.9499300947991364,2.0,0.10936207067580934,81,1.0,1.0,0.44186
OG0001307_159_15,0.7740388782038569,8.0,0.055359777445805676,64,1.0,1.0,0.705882
OG0001309_158_7,0.9157963466679144,3.0,0.15162113774194355,77,1.0,1.0,0.604396
OG0001311_158_25,0.8976196371263424,3.0,0.04924811334179628,60,1.0,1.0,0.621053
OG0001312_158_62,0.9230606910160742,3.0,0.058998879104102425,86,1.0,1.0,0.47619
OG0001317_157_35,0.9548192781809491,2.0,0.1546116601794788,65,1.0,1.0,0.454545
OG0001318_157_2,0.9353840980006077,2.0,0.20444399042244923,57,1.0,1.0,0.52
OG0001319_157_65,0.924755229482339,2.0,0.2064646080804748,79,1.0,1.0,0.388235
OG0002437_101_1,0.9635656998329662,1.0,0.028131312228100537,34,1.0,1.0,0.505882
OG0002440_101_33,0.8566793324193044,3.0,1.5552264494203272,47,1.0,1.0,0.54023
OG0002442_101_25,0.7905835436496805,8.0,0.06978645641876506,58,1.0,1.0,0.653333
OG0002447_101_33,0.9225536498382354,2.0,0.3617750421104309,46,1.0,1.0,0.536585
OG0002449_101_5,0.939125566975358,3.0,0.09657568472499219,52,1.0,1.0,0.306667
OG0002450_101_30,0.8888195953700445,3.0,0.13861721552720002,51,1.0,1.0,0.678161
OG0002451_101_8,0.9042139213121254,3.0,0.10817912340211816,48,1.0,1.0,0.481481
OG0002462_100_31,0.8529904698333113,3.0,0.7397213650744358,36,1.0,1.0,0.591398
OG0002464_100_20,0.6161170377301198,13.0,1.3575240420169583,41,1.0,1.0,0.707317
OG0002466_100_3,0.8933246554427825,5.0,0.02298580456960328,48,1.0,1.0,0.61039
OG0002470_100_1,0.7806817158856123,1.0,0.19987497398440712,40,1.0,1.0,0.62963
OG0002471_100_17,0.9056943188285864,3.0,0.19752259813716402,28,1.0,1.0,0.448276
OG0002485_100_3,0.8178410871211319,8.0,0.22119463303750825,33,1.0,1.0,0.780488
OG0002498_99_14,0.8179033964135866,6.0,0.4783398636933553,46,1.0,1.0,0.532468
OG0002506_99_4,0.9186082345310562,3.0,0.07816411954872325,41,1.0,1.0,0.465116
OG0002508_99_27,0.9014373746157236,4.0,0.05720595953502689,39,1.0,1.0,0.494253
OG0002511_99_1,0.6804445229961351,1.0,0.08941018081968684,38,1.0,1.0,0.494253
OG0002519_99_14,0.8990084200969279,3.0,0.08264619908917735,31,1.0,1.0,0.617978
OG0002521_99_5,0.9448810195943965,3.0,0.2617561937576745,40,1.0,1.0,0.39726
OG0002522_99_1,0.7813256568127974,1.0,2.8549206394063322,30,1.0,1.0,0.586957
OG0002523_99_6,0.9705374183030553,2.0,1.3208459709085296,29,1.0,1.0,0.585366
OG0002524_99_6,0.8089950010058705,6.0,0.13977455902872066,56,1.0,1.0,0.573333
OG0002527_99_15,0.8962885093722911,3.0,0.5006459555876747,35,1.0,1.0,0.568182
OG0002528_99_1,0.846828448487269,1.0,0.016546507046051956,45,1.0,1.0,0.764706
OG0004376_65_3,0.9303360285270684,3.0,0.02967059382413141,31,1.0,1.0,0.362319
OG0004390_65_3,0.9065779152646762,3.0,0.06107414036632873,28,1.0,1.0,0.623188
OG0004411_65_4,0.9303126888508598,3.0,0.12269148099534213,28,1.0,1.0,0.42029
OG0004434_65_3,0.7695181959070432,6.0,0.3997520950166618,19,1.0,1.0,0.507246
OG0004443_65_2,0.9692284128856924,2.0,0.025920217427629753,27,1.0,1.0,0.362319
OG0004444_65_12,0.8888019300776604,3.0,0.37856083622812253,28,1.0,1.0,0.742857
OG0004445_65_2,0.933593460820682,3.0,0.0646685594986078,22,1.0,1.0,0.545455
