Tree,score,deep,var,GD,species_overlap,RF
OG0002437_101_1,0.0,1,0.028131312228100537,0,0.0,20
OG0002440_101_1,0.0,1,1.6100341005084189,0,0.0,26
OG0002442_101_1,0.0,1,0.07223418047906467,0,0.0,20
OG0002447_101_1,0.0,1,0.341945540409736,0,0.0,32
OG0002449_101_1,0.0,1,0.01746942608431526,0,0.0,0
OG0002450_101_1,0.0,1,0.07526267720628146,0,0.0,24
OG0002451_101_1,0.0,1,0.09955298867921282,0,0.0,10
OG0002462_100_1,0.0,1,0.7439766295399307,0,0.0,26
OG0002464_100_1,0.0,1,1.4188422858666512,0,0.0,34
OG0002466_100_1,0.0,1,0.020135401876445753,0,0.0,28
OG0002470_100_1,0.0,1,0.19987497398440712,0,0.0,8
OG0002471_100_1,0.0,1,0.07648726166933434,0,0.0,10
OG0002485_100_1,0.0,1,0.2059812881740357,0,0.0,34
OG0002498_99_1,0.0,1,0.07325594770501707,0,0.0,18
OG0002506_99_1,0.0,1,0.07790068286301566,0,0.0,18
OG0002508_99_1,0.0,1,0.03045632836137817,0,0.0,12
OG0002511_99_1,0.0,1,0.08941018081968684,0,0.0,12
OG0002519_99_1,0.0,1,0.09695485434176543,0,0.0,30
OG0002521_99_1,0.0,1,0.8377629498573266,0,0.0,10
OG0002522_99_1,0.0,1,2.8549206394063322,0,0.0,16
OG0002523_99_1,0.0,1,1.1187333953838952,0,0.0,30
OG0002524_99_1,0.0,1,0.02787670851493427,0,0.0,18
OG0002527_99_1,0.0,1,0.0963458236845311,0,0.0,6
OG0002528_99_1,0.0,1,0.016546507046051956,0,0.0,22
OG0004376_65_1,0.0,1,0.007530838896667212,0,0.0,8
OG0004390_65_1,0.0,1,0.020423586034948583,0,0.0,28
OG0004411_65_1,0.0,1,0.09042464294334406,0,0.0,18
OG0004434_65_1,0.0,1,0.13277138957371762,0,0.0,20
OG0004443_65_1,0.0,1,0.014139324599898574,0,0.0,12
OG0004444_65_1,0.0,1,0.16806800805434452,0,0.0,36
OG0004445_65_1,0.0,1,0.0022204915917296755,0,0.0,24
OG0004446_65_1,0.0,1,0.00730179630941531,0,0.0,14
OG0004449_65_1,0.0,1,9.563978977882026e-05,0,0.0,14
OG0004452_65_1,0.0,1,0.002552524524805193,0,0.0,22
OG0004471_64_1,0.0,1,0.01368556396660657,0,0.0,14
OG0004472_64_1,0.0,1,0.04795439686302796,0,0.0,12
OG0004474_64_1,0.0,1,0.003334170207662357,0,0.0,24
OG0004478_64_1,0.0,1,0.006233909269002448,0,0.0,16
OG0004480_64_1,0.0,1,0.02383882494466545,0,0.0,18
OG0004485_64_1,0.0,1,0.006608559596917134,0,0.0,12
OG0004491_64_9,0.008236502799286448,1,0.18474274066771834,0,0.0,18
OG0004492_64_1,0.0,1,0.046760709442334555,0,0.0,0
OG0004493_64_1,0.0,1,0.023894336850761873,0,0.0,20
OG0004494_64_1,0.0,1,0.012027629591767501,0,0.0,18
OG0004495_64_1,0.0,1,0.005660043007504594,0,0.0,14
OG0004506_64_1,0.0,1,0.031898168332393693,0,0.0,6
OG0007933_40_1,0.0,1,0.021555848814201032,0,0.0,6
OG0007937_40_1,0.0,1,0.013211808887392177,0,0.0,14
OG0007968_40_1,0.0,1,0.034782617827389666,0,0.0,18
OG0007983_40_1,0.0,1,0.06441256139737458,0,0.0,26
OG0008026_40_1,0.0,1,0.0019253353462607564,0,0.0,34
OG0008032_40_1,0.0,1,0.00020949215221873624,0,0.0,24
OG0008033_40_1,0.0,1,0.00795513993417888,0,0.0,30
OG0008047_40_1,0.0,1,0.01063013242483055,0,0.0,34
OG0008056_40_1,0.0,1,0.04326446049417228,0,0.0,12
OG0008066_40_1,0.0,1,0.08810933933296125,0,0.0,24
OG0008111_39_1,0.0,1,0.05489916261235287,0,0.0,28
OG0008135_39_1,0.0,1,0.06770023714224552,0,0.0,40
OG0008154_39_1,0.0,1,0.014879910145003354,0,0.0,10
OG0008159_39_5,0.0,1,0.009908034374904229,0,0.0,18
OG0008161_39_1,0.0,1,0.14088023285454496,0,0.0,32
OG0008173_39_7,0.0,2,0.1329371415268729,0,0.0,20
OG0008177_39_1,0.0,1,0.028044563421691846,0,0.0,18
OG0008199_39_1,0.0,1,0.05820412080562094,0,0.0,22
