gd_node	gd_event_id	tree_id	status	outgroup	candidates
S13	OG0000003_2388-247	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-251	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-258	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-259	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-260	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-261	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-265	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-266	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-268	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-271	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-274	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-275	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-276	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-277	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-278	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-279	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-280	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-281	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-282	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-283	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-284	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-285	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-286	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-287	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-289	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-292	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-293	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-294	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-295	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000004_2180-297	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-298	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-299	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-300	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-301	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-302	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-304	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-305	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-306	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-311	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-312	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-313	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-314	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-315	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-318	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-320	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-323	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-324	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-325	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-330	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-338	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-339	OG0000004_2180	used	MED	MED,GLY,PHA
